district_name,state_name,grade_10_avg_performance,g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,Performance_Class,state_encoded
Almora,Uttarakhand,37.3436679,59.788727,54.34268983333334,60.1885717,54.88895,42.0304088,47.14399876923077,56.12478,35.3535595,39.20028491666667,38.77370272727273,58.10666284444445,48.02111918974359,42.36308178598485,-10.085543654700864,-5.658037403758733,7.974876410928443,Medium,35
Alwar,Rajasthan,47.213180476666665,67.557023,64.27203608333333,68.3636472,68.23509,58.66001826666666,58.454121846153846,62.48854,49.7101768,48.16282141666667,48.86508954545455,66.73090209444445,61.7830767042735,52.4808555030303,-4.947825390170948,-9.3022212012432,7.23505497820568,High,29
Ambala,Haryana,43.116351313333325,53.0429745,44.913014833333335,49.5219478,53.113327,39.39991766666667,43.82736446153846,59.69872,38.51962935,40.43171408333333,39.17157590909091,49.15931237777778,45.44686970940171,44.45540983560606,-3.7124426683760703,-0.9914598737956482,2.479647904225372,High,12
Ambedkar Nagar,Uttar Pradesh,32.467281459999995,56.6366615,54.836799500000005,57.3743729,50.473755,39.84986333333333,45.33082823076923,45.130936,32.41801155,34.88360075,36.06066127272727,56.282611300000006,45.21814885470085,37.12330239318182,-11.064462445299156,-8.094846461519033,9.617934516879435,Low,34
Amethi - CSM Nagar,Uttar Pradesh,32.54099372333333,53.8388215,48.01929616666666,52.0819594,48.243633,35.90081453333333,40.96612515384615,47.28492,30.87066685,34.08238766666667,35.70010813636364,51.31335902222222,41.70352422905983,36.98452066325758,-9.609834793162392,-4.719003565802254,7.302208890959702,Low,34
Amravati,Maharashtra,34.923450263333336,61.449778,55.959792166666666,58.6560066,56.29235,42.769174066666665,47.80212369230769,50.870148,33.03240255,34.95344958333333,35.57426790909091,58.688525588888886,48.954549252991455,38.60756701060606,-9.733976335897433,-10.346982242385394,10.042038589970668,Medium,21
Amreli,Gujarat,37.13804999,56.382195,52.29618633333333,53.7909806,46.18059,38.12443266666666,43.45075969230769,55.300774,34.013695150000004,38.47728125,36.46990472727273,54.15645397777778,42.58526078632479,41.06541378181819,-11.571193191452991,-1.5198470045066017,7.159815875231074,Medium,11
Amritsar,Punjab,51.74569355999999,77.045548,71.56707466666667,74.1239001,69.336655,59.28282786666667,59.39653069230769,66.49513,49.7101768,50.888552833333335,48.93962199431819,74.24550758888888,62.67200451965812,54.64591167310606,-11.573503069230767,-8.026092846552054,9.853157698059192,High,28
Anand,Gujarat,35.33309724333334,64.72225,57.00042416666667,63.0130187,50.580425,41.01826573333334,45.538328923076925,54.106594,35.1041818,37.6059505,35.69935440909091,61.57856428888889,45.712339885470094,40.62902017727273,-15.866224403418798,-5.083319708197365,10.927492961638404,Medium,11
Anantapur,Andhra Pradesh,35.84743370333333,46.7298395,47.38191741666666,47.8579177,49.01143,40.847070466666665,42.016178,47.093304,35.7456287,33.02032233333333,32.858923,47.32322487222222,43.95822615555556,37.179544508333336,-3.364998716666662,-6.778681647222221,5.166688052035858,Medium,1
Anantnag,Jammu & Kashmir,43.09269991000001,73.697675,66.02960233333333,69.3070778,69.78304,60.8456142,64.0905916923077,64.87194,44.05209965,50.9347284375,48.93962199431819,69.67811837777778,64.9064152974359,52.85947456780303,-4.771703080341879,-12.046940729632864,8.667609347805898,High,14
Andamans,Andaman & Nicobar Islands,42.60625430333333,60.653209,46.61460033333333,54.2295968,54.495354,40.067995,46.720624,57.063087,34.34493715,41.162892416666665,36.45778436363637,53.83246871111111,47.09465766666667,42.25717523257576,-6.737811044444442,-4.837482434090916,5.8135868601779,High,0
Angul,Odisha,41.63840489333334,71.21351,65.81102308333332,65.2004816,60.80668,57.71504266666667,53.26778284615385,61.287384,46.4711188,45.51305666666667,44.63349977272728,67.40833822777778,57.26316850427352,49.47626480984849,-10.14516972350426,-7.786903694425028,8.99184440600633,High,26
Anjaw,Arunachal Pradesh,36.01955036333333,73.707865,65.63399600000001,69.9726307,56.84591,37.75568146666667,46.08661946153846,47.785378,31.124035400000004,35.51767841666666,39.30525577272727,69.77149723333333,46.89607030940172,38.43308689734848,-22.87542692393162,-8.462983412053234,16.212151859903248,Medium,2
Anuppur,Madhya Pradesh,31.843642156666668,59.941416,55.221857666666665,60.0143915,50.455334,40.9249446,45.60038246153847,44.360935,29.9622632,32.75401025,34.00171681818182,58.39255505555556,45.66022035384615,35.269731317045455,-12.732334701709403,-10.390489036800696,11.581159894576157,Low,20
Araria,Bihar,32.957785216666664,48.03094,45.177715,46.8688016,46.12152,38.00975593333333,40.47402076923077,45.12196,34.944313949999994,34.61296716666667,35.276135818181814,46.69248553333333,41.5350989008547,37.48884423371212,-5.157386632478634,-4.046254667142577,4.612985780748653,Low,4
Aravalli,Gujarat,39.36225390333333,65.156153,58.08881291666666,62.3943905,58.19192,51.06717386666666,53.73803976923077,53.894333,37.99014495,39.2926415,35.373583045454545,61.87978547222222,54.33237787863248,41.63767562386364,-7.547407593589739,-12.694702254768837,10.22954738192282,High,11
Ariyalur,Tamil Nadu,33.15385535666667,71.7549625,64.81489466666666,67.1994423,46.99801,41.240159733333336,44.38368538461539,42.860775,31.18999625,31.74065908333333,32.17949018181818,67.92309982222223,44.20728503931624,34.49273012878788,-23.715814782905987,-9.714554910528364,17.19690895561596,Low,31
Arwal,Bihar,36.64941295333334,55.9069595,49.91344941666666,50.6240135,53.61825,44.48287153333333,46.2996206923077,52.85496,46.0634491,42.810210000000005,47.98475022727273,52.14814080555556,48.13358074188034,47.428342331818186,-4.014560063675219,-0.7052384100621509,2.5459298024028008,Medium,4
Ashoknagar,Madhya Pradesh,34.582276066666665,61.07394000000001,54.35944108333333,59.80863380000001,49.411297,40.170935666666665,42.35530461538462,50.771805,38.127899150000005,36.956128666666665,41.87368654545455,58.41400496111112,43.9791790940171,41.9323798405303,-14.43482586709402,-2.046799253486796,8.983295160210435,Low,20
Auraiya,Uttar Pradesh,31.49157710333333,59.5591125,56.4110655,58.7367228,56.636845,44.085336133333335,47.46131838461539,46.26515,36.49159935,34.27046633333333,36.077749318181816,58.2356336,49.39449983931624,38.27624125037879,-8.84113376068376,-11.11825858893745,10.001322105859316,Low,34
Aurangabad (Bihar),Bihar,34.25005895333334,60.22030600000001,57.34436308333333,60.1517307,55.00598,44.8727434,48.435957615384616,46.671394,36.8954632,35.33884666666667,38.20951072727273,59.23879992777778,49.438227005128205,39.27880364848485,-9.80057292264958,-10.159423356643352,9.980535757338464,Low,4
Aurangabad (Maharashtra),Maharashtra,37.831645353333336,65.415275,58.5443405,62.474769,60.77688,46.665672533333336,51.54730976923077,58.050564,37.19395565,39.94888816666667,39.775288318181815,62.14479483333333,52.99662076752136,43.742174033712125,-9.148174065811965,-9.25444673380924,9.201361542202672,Medium,21
Azamgarh,Uttar Pradesh,33.4939781,54.003291,52.387572166666665,56.6812638,55.778168,43.988755266666665,47.69283553846154,46.61554,33.79521285,35.424216666666666,36.41837809090909,54.35737565555555,49.15325293504274,38.06333690189394,-5.204122720512814,-11.089916033148796,8.322307670935537,Low,34
Badgam,Jammu & Kashmir,38.30394614333333,63.34728199999999,55.92443291666667,59.6247006,68.28811,54.0341194,59.60124292307693,58.487568,39.89704545,45.301307,41.79458954545454,59.63213850555556,60.64115744102563,46.37012749886364,1.009018935470074,-14.271029942161997,7.964100187339005,High,14
Bagalkot,Karnataka,37.277343316666666,75.5662525,72.260914,74.1025683,64.18002,51.30362773333333,50.04802869230769,50.904774,36.75409705,39.435591083333335,39.048407227272726,73.97657826666666,55.17722547521368,41.53571734015152,-18.79935279145299,-13.64150813506216,16.28862520917576,Medium,16
Bageshwar,Uttarakhand,35.59542861333334,56.040448,48.124946666666666,56.2745743,53.326836,42.4179892,47.31388823076923,53.24009,34.531297,37.65970925,37.95997295454546,53.47998965555555,47.68623781025641,40.847767301136365,-5.793751845299141,-6.838470509120043,6.323307164246932,Medium,35
