g3_lang,g3_math,g3_evs,g5_lang,g5_math,g5_evs,g8_lang,g8_math,g8_sci,g8_sst,g3_avg,g5_avg,g8_avg,growth_g3_g5,growth_g5_g8,performance_std,state_encoded
1.3319425917336638,1.4963240901328771,0.9528497276707062,0.8467108843091551,1.9223470147130735,0.8722077906955603,1.1881816829263452,1.924247561560465,1.4870350382324768,1.443635540637832,1.2747751611783766,1.2104015697383896,1.4836515577713836,-0.32525026952870223,-0.07567833341241144,0.22735725359501033,0.5610351525588626
-0.9075568090907178,-0.2596789670848061,-0.7974228360923823,-1.425426803573567,-1.116766924521454,-1.396487396132993,-0.385718075210129,0.0015716244296708124,-0.596005691520582,-0.9469563607930167,-0.6645937203692251,-1.3225335913519687,-0.473005052718743,-0.8607963813430832,1.4769486841774722,-0.25891972307246286,1.1099982010422798
-1.3724235177597803,-1.5372161135436697,-1.6340535626239125,-1.6536249402943295,-1.2195074788825473,-1.5404190871545285,-0.6221092892925825,-1.0056064794241726,-0.7540857202966859,-0.9375475794262345,-1.526808793888039,-1.4824371054162788,-0.8377738811083685,0.3407873069731439,1.281993571890524,-1.2582667644700616,1.1099982010422798
-1.102183490252013,-0.7797491967233839,-1.2534003540000993,-0.7629164276710841,-0.6810175504921934,-1.0097797227081202,-0.8702414298546765,-0.5247924740239102,-1.1230142413031694,-1.0305568032706653,-1.0549500362551654,-0.8218249724027422,-0.8985336737120486,0.53715022789389,0.18353518226967502,-0.6658796297406313,1.2929858838700854
0.465915342887941,0.35910408528060567,0.30743656185819546,-0.32934409550963234,0.40645540689623855,-0.200353992737908,0.0006091525539591416,0.4206249992844047,0.23082981427834165,-0.4436314367851254,0.38150066203218175,-0.049472430403093216,0.04543335667814882,-0.7107985405727312,0.13191123993162726,0.4060048621192728,0.5610351525588626
-0.3334300623275617,-0.5945348268715294,-0.5040891874260185,-0.8281366284517383,-0.8757897779819976,-1.0043461325380592,-0.33536175603415275,-0.8697361426352789,-0.572171769803239,-1.1958643683459045,-0.48090974765936007,-0.9085602785425568,-0.7224473556341957,-0.5507008135715407,0.5319113793764184,-0.0010016872283219542,0.6525289939727654
0.8706920512922074,0.9817492229681553,0.8743107456217267,-0.2621252004188747,-0.05464458229835739,0.15530990690454305,-1.1741009977951948,-0.20500259977740792,-0.7334367424256604,-0.40951085121161485,0.915675424001813,-0.0693366750526377,-0.7047342593012371,-1.6324360891292904,-0.7482914447014527,1.8057274578179607,1.2929858838700854
-0.03997689133155145,-0.3797549125972736,-0.4060777138209796,1.6236691780219195,1.0833789953062987,1.3236008710326572,2.06734205224815,1.4702449834489093,2.084562459691408,1.5689652315900764,-0.27457110250357847,1.3426856749672964,1.8168160470046977,2.459171347876567,0.12373630193221041,-1.6219522397936659,-0.7198786272357776
2.0456082411728644,2.1026327624441534,2.0057566054507783,1.795612012229921,1.8291076166963007,1.422430891042239,2.4692079543045176,2.49969654370737,2.600494837474128,2.3729489805200963,2.0692610116838255,1.6850292531967708,3.1561216700902524,-0.9447789231312268,1.219200931642912,-0.052869357921504,0.7440228353866684
0.392756334541329,0.2653239444524364,0.23658780650758027,1.8428531514761406,1.4108594936934908,1.815252060677481,0.8097024670868892,0.7563018755565125,1.4435475769286514,0.830964257041736,0.30150425310981344,1.6842367725960818,0.9271570785081895,2.0060854580791037,-1.4864554256877673,-0.11488518384595232,-0.5368909444079718
